Lat,Lng
32.9325,-117.2412
32.9647,-117.0954
32.9051,-117.2246
32.8381,-117.2347
32.847,-117.1779
32.8411,-117.1333
32.8416,-117.1204
32.8565,-117.1147
32.8093,-117.1528
32.8361,-117.0037
32.8322,-116.9621
32.7596,-117.2039
32.7624,-117.1636
32.7717,-117.1316
32.7785,-117.1123
32.7778,-117.0037
32.8032,-116.9623
32.7242,-117.1555
32.7365,-117.1134
32.7135,-117.1471
32.7164,-117.1185
32.7188,-117.1028
32.7465,-117.0183
32.6926,-117.1207
32.6512,-117.1042
32.6577,-117.0738
32.9652,-117.1773
32.6911,-117.0164
