way_id,node_id,lat,lon
5938482,277141276,32.5641844,-117.0411218
436605061,277141276,32.5641844,-117.0411218
541310510,277141276,32.5641844,-117.0411218
5938482,277141278,32.5656601,-117.0407871
5938482,48959786,32.5675408,-117.0403836
25429961,48959786,32.5675408,-117.0403836
5938482,48859268,32.5684160,-117.0401948
5938482,277145150,32.5687932,-117.0401065
25430402,277145150,32.5687932,-117.0401065
541816075,277145150,32.5687932,-117.0401065
5939690,48876024,32.5678418,-117.0778615
576340733,48876024,32.5678418,-117.0778615
5939690,5527978974,32.5678268,-117.0781805
576340732,5527978974,32.5678268,-117.0781805
5939690,48876025,32.5678362,-117.0783198
5939690,5527978972,32.5674830,-117.0783342
576340732,5527978972,32.5674830,-117.0783342
5939690,48876026,32.5673375,-117.0783322
5939690,48876027,32.5672396,-117.0783263
576340731,48876027,32.5672396,-117.0783263
5939690,48876028,32.5670390,-117.0784070
5939690,48876029,32.5669060,-117.0785290
5939690,48876030,32.5666559,-117.0788418
5939691,48876030,32.5666559,-117.0788418
5939690,48876031,32.5666272,-117.0788966
5939690,48876032,32.5665917,-117.0789474
576340669,48876032,32.5665917,-117.0789474
5939690,48876033,32.5663380,-117.0791700
5939690,5527978750,32.5661536,-117.0792736
576340671,5527978750,32.5661536,-117.0792736
5939690,48876034,32.5659980,-117.0793610
5939690,48876035,32.5657310,-117.0794220
5939690,8237275975,32.5656059,-117.0794069
885854629,8237275975,32.5656059,-117.0794069
5939690,48876036,32.5654750,-117.0793910
5939690,48876037,32.5653150,-117.0793000
5939690,48876038,32.5652730,-117.0792470
5943677,48876038,32.5652730,-117.0792470
5939690,48876039,32.5652050,-117.0791930
5939690,48876040,32.5651400,-117.0790630
5939690,48876041,32.5650750,-117.0788420
6001309,48876041,32.5650750,-117.0788420
530466513,48876041,32.5650750,-117.0788420
5939691,48876042,32.5665065,-117.0781973
6001309,48876042,32.5665065,-117.0781973
5939691,5527978745,32.5665990,-117.0784812
5939691,5527978746,32.5665583,-117.0786367
5940779,48890123,32.5645059,-117.0558903
5969974,48890123,32.5645059,-117.0558903
5940779,3702030734,32.5644988,-117.0549344
366218439,3702030734,32.5644988,-117.0549344
5940779,5528801795,32.5644971,-117.0547074
576440360,5528801795,32.5644971,-117.0547074
5940779,5528801800,32.5644957,-117.0545197
576440361,5528801800,32.5644957,-117.0545197
5940779,5528801793,32.5644936,-117.0542313
576440359,5528801793,32.5644936,-117.0542313
5940779,48890124,32.5644909,-117.0538683
5940779,7135999453,32.5645184,-117.0538128
5940779,7135999454,32.5645637,-117.0537877
5940779,7135999455,32.5646322,-117.0537829
5940779,7135999456,32.5647631,-117.0537865
5940779,7135999457,32.5648175,-117.0538414
5940779,7135999458,32.5648417,-117.0538618
5940779,5528801786,32.5649285,-117.0538786
576440355,5528801786,32.5649285,-117.0538786
5940780,48890125,32.5635955,-117.0559053
5969974,48890125,32.5635955,-117.0559053
5940780,5528801817,32.5635931,-117.0554021
576440367,5528801817,32.5635931,-117.0554021
5940780,5528801819,32.5635925,-117.0552774
576440368,5528801819,32.5635925,-117.0552774
5940780,5528801815,32.5635921,-117.0552103
576440366,5528801815,32.5635921,-117.0552103
5940780,48890126,32.5635915,-117.0550743
5940783,48890126,32.5635915,-117.0550743
5940780,48890127,32.5635937,-117.0546478
5949222,48890127,32.5635937,-117.0546478
5940780,48890128,32.5635977,-117.0539788
576440357,48890128,32.5635977,-117.0539788
5940783,48890141,32.5632210,-117.0550770
5941051,48893849,32.5671456,-117.0778813
6001309,48893849,32.5671456,-117.0778813
576340731,48893849,32.5671456,-117.0778813
5941051,48893850,32.5669607,-117.0774523
5941054,48893850,32.5669607,-117.0774523
5941051,48893851,32.5668070,-117.0769420
